RESPONSE 5077 77 3 3
RESPONSE 6047 46 3 3
RESPONSE 7025 23 4 4
RESPONSE 8024 22 3 3
RESPONSE 9525 521 2 3
RESPONSE 11012 6 3 3
RESPONSE 11052 1048 4 5
RESPONSE 12010 3 2 2
RESPONSE 13027 20 2 2
RESPONSE 14013 5 3 3
RESPONSE 15535 526 5 6
RESPONSE 16033 23 4 4
RESPONSE 17014 3 2 2
RESPONSE 18018 6 4 4
RESPONSE 19518 506 3 4
RESPONSE 21021 1007 3 4
RESPONSE 21039 25 4 4
RESPONSE 22021 6 4 4
RESPONSE 23522 506 3 4
RESPONSE 24023 6 4 4
RESPONSE 25022 5 3 3
RESPONSE 26523 504 2 3
RESPONSE 28024 1005 2 3
RESPONSE 28028 7 4 4
RESPONSE 29024 3 2 2
RESPONSE 30028 6 4 4
RESPONSE 31027 4 3 3
RESPONSE 32531 507 4 5
RESPONSE 34030 5 2 2
RESPONSE 34031 1006 3 4
RESPONSE 35532 506 3 4
RESPONSE 37033 1006 2 3
RESPONSE 37057 29 3 3
RESPONSE 38535 506 3 4
RESPONSE 39033 3 2 2
RESPONSE 40036 5 3 3
RESPONSE 41541 509 5 6
RESPONSE 42037 4 3 3
RESPONSE 43538 504 2 3
RESPONSE 45044 1010 4 5
RESPONSE 45045 9 4 4
RESPONSE 46542 506 3 4
RESPONSE 48045 7 3 3
RESPONSE 48046 1009 4 5
RESPONSE 49545 506 3 4
RESPONSE 50044 5 3 3
RESPONSE 51547 506 3 4
RESPONSE 53045 3 1 1
RESPONSE 53049 1008 4 5
RESPONSE 54048 5 3 3
RESPONSE 55550 506 3 4
RESPONSE 56051 6 4 4
RESPONSE 57050 5 3 3
RESPONSE 58050 3 2 2
RESPONSE 59054 6 4 4
RESPONSE 60553 504 2 3
RESPONSE 62056 1006 3 4
RESPONSE 64060 2009 4 5
RESPONSE 64060 8 4 4
RESPONSE 65078 2026 5 6
RESPONSE 65559 506 3 4
RESPONSE 67058 1006 2 3
RESPONSE 67060 6 3 3
RESPONSE 68059 5 3 3
RESPONSE 69563 507 4 5
RESPONSE 70058 2 1 1
RESPONSE 71061 3 2 2
RESPONSE 72565 507 4 5
RESPONSE 73061 2 1 1
RESPONSE 74566 506 3 4
RESPONSE 75065 4 3 3
RESPONSE 76566 504 2 3
RESPONSE 77069 6 4 4
RESPONSE 78572 509 5 6
RESPONSE 79069 5 3 3
RESPONSE 80073 8 5 5
RESPONSE 81070 4 2 2
RESPONSE 82575 508 4 5
RESPONSE 83069 2 1 1
RESPONSE 84576 507 4 5
RESPONSE 86076 1006 3 4
RESPONSE 87077 6 4 4
RESPONSE 88078 2007 3 4
RESPONSE 89080 1008 3 4
RESPONSE 90078 4 2 2
RESPONSE 90082 1009 5 6
RESPONSE 91081 6 4 4
RESPONSE 92582 506 3 4
RESPONSE 93081 5 3 3
RESPONSE 94585 507 4 5
