1,-1,24.1986543857893,198.6040146595402
2,-2,2.880954415399508,16.11896546655557
2,-1_-2,0_-2.346693506771841_-2.346693506771841_0,0_0
3,-3,7.536364074780291,-44.22555736636792
3,-1_-3,0_-8.504057251153387_-8.504057251153387_0,0_0
3,-3_-4,0_-0.7023091185424151_-0.7023091185424151_0,0_0
4,-4,15.00755631643904,-30.73334621162725
4,-1_-4,0_-3.583709036451382_-3.583709036451382_0,0_0
4,-2_-4,0_0.2698089923459126_0.2698089923459126_0,0_0
5,-5,1,0
6,-6,64.43547211470737,155.9445189264489
6,-3_-6,0_-0.5331939374176491_-0.5331939374176491_0,0_0
6,-4_-6,0_-18.6115722400139_-18.6115722400139_0,0_0
7,-7,131.270285873517,-119.0988175061029
7,-4_-7,0_5.667326045920014_5.667326045920014_0,0_0
7,-6_-7,0_-54.43065828316224_-54.43065828316224_0,0_0
8,-8,123.2897956550541,-69.59578753033838
8,-7_-8,0_-69.85214932106274_-69.85214932106274_0,0_0
9,-9,33.53703743545071,26.12524038995927
9,-7_-9,0_23.78683204143868_23.78683204143868_0,0_0
9,-8_-9,0_-55.25834053739919_-55.25834053739919_0,0_0
10,-10,34.63059574212249,120.2408207504241
10,-6_-10,0_17.9824155707757_17.9824155707757_0,0_0
10,-7_-10,0_-44.57195806153454_-44.57195806153454_0,0_0
10,-9_-10,0_-1.435370161547171_-1.435370161547171_0,0_0
1,1,1,0
2,2,1,0
3,3,1,0
4,4,1,0
5,5,1,0
6,6,1,0
7,7,1,0
8,8,1,0
9,9,1,0
10,10,1,0
1,-1_1,100_100_100_100_,2495.22051069593_2495.22051069593_
2,-2_2,100_100_100_100_,2428.17728847307_2428.17728847307_
3,-3_3,100_100_100_100_,2305.72811334971_2305.72811334971_
4,-4_4,100_100_100_100_,2485.30360772454_2485.30360772454_
5,-5_5,100_100_100_100_,0_0_
6,-6_6,100_100_100_100_,2312.74583413722_2312.74583413722_
7,-7_7,100_100_100_100_,2217.26428119516_2217.26428119516_
8,-8_8,100_100_100_100_,2327.44431033206_2327.44431033206_
9,-9_9,100_100_100_100_,2345.27035021448_2345.27035021448_
10,-10_10,100_100_100_100_,2148.11686484801_2148.11686484801_
Done,0,0,0
