2,1,0.257905,0.3461
3,1,0.775104,0.753358
4,1,0.239087,0.185343
6,1,0.416937,0.478165
7,1,0.194817,0.248943
8,1,0.16335,0.234018
9,1,0.252044,0.302955
10,1,0.251273,0.232675
1,2,0.3461,0.257905
3,2,0.438893,0.222349
4,2,0.598886,0.571303
6,2,0.406685,0.418193
7,2,0.523851,0.522914
8,2,0.25766,0.320967
9,2,0.206302,0.0805066
10,2,0.161386,0.121596
1,3,0.753358,0.775104
2,3,0.222349,0.438893
4,3,0.407831,0.517844
6,3,0.507574,0.64681
7,3,0.169906,0.339488
8,3,0.139611,0.285194
9,3,0.187911,0.26161
10,3,0.326951,0.457715
1,4,0.185343,0.239087
2,4,0.571303,0.598886
3,4,0.517844,0.407831
6,4,0.295198,0.410747
7,4,0.216184,0.31624
8,4,0.153033,0.258198
9,4,0.216331,0.228563
10,4,0.317962,0.310618
1,5,0,0.00231374
2,5,0,0.00226323
3,5,0,0.00171478
4,5,0,0.00323102
6,5,0,0.00241497
7,5,0,0.00233593
8,5,0,0.00314674
9,5,0,0.00174698
10,5,0,0.00187293
1,6,0.478165,0.416937
2,6,0.418193,0.406685
3,6,0.64681,0.507574
4,6,0.410747,0.295198
7,6,0.609177,0.639377
8,6,0.203461,0.224412
9,6,0.157577,0.0149949
10,6,0.636748,0.575565
1,7,0.248943,0.194817
2,7,0.522914,0.523851
3,7,0.339488,0.169906
4,7,0.31624,0.216184
6,7,0.639377,0.609177
8,7,0.410011,0.411726
9,7,0.540267,0.633862
10,7,0.587764,0.473563
1,8,0.234018,0.16335
2,8,0.320967,0.25766
3,8,0.285194,0.139611
4,8,0.258198,0.153033
6,8,0.224412,0.203461
7,8,0.411726,0.410011
9,8,0.487082,0.486097
10,8,0.469526,0.321856
1,9,0.302955,0.252044
2,9,0.0805066,0.206302
3,9,0.26161,0.187911
4,9,0.228563,0.216331
6,9,0.0149949,0.157577
7,9,0.633862,0.540267
8,9,0.486097,0.487082
10,9,0.664434,0.482351
1,10,0.232675,0.251273
2,10,0.121596,0.161386
3,10,0.457715,0.326951
4,10,0.310618,0.317962
6,10,0.575565,0.636748
7,10,0.473563,0.587764
8,10,0.321856,0.469526
9,10,0.482351,0.664434
