2,1,1_0.1353352832366127_0.1353352832366127_1
21,1,1_0.1353352832366127_0.1353352832366127_1
1,2,1_0.1353352832366127_0.1353352832366127_1
3,2,1_0.1353352832366127_0.1353352832366127_1
22,2,1_0.1353352832366127_0.1353352832366127_1
2,3,1_0.1353352832366127_0.1353352832366127_1
4,3,1_0.1353352832366127_0.1353352832366127_1
23,3,1_0.1353352832366127_0.1353352832366127_1
3,4,1_0.1353352832366127_0.1353352832366127_1
5,4,1_0.1353352832366127_0.1353352832366127_1
24,4,1_0.1353352832366127_0.1353352832366127_1
4,5,1_0.1353352832366127_0.1353352832366127_1
6,5,1_0.1353352832366127_0.1353352832366127_1
25,5,1_0.1353352832366127_0.1353352832366127_1
5,6,1_0.1353352832366127_0.1353352832366127_1
7,6,1_0.1353352832366127_0.1353352832366127_1
26,6,1_0.1353352832366127_0.1353352832366127_1
6,7,1_0.1353352832366127_0.1353352832366127_1
8,7,1_0.1353352832366127_0.1353352832366127_1
27,7,1_0.1353352832366127_0.1353352832366127_1
7,8,1_0.1353352832366127_0.1353352832366127_1
9,8,1_0.1353352832366127_0.1353352832366127_1
28,8,1_0.1353352832366127_0.1353352832366127_1
8,9,1_0.1353352832366127_0.1353352832366127_1
10,9,1_0.1353352832366127_0.1353352832366127_1
29,9,1_0.1353352832366127_0.1353352832366127_1
9,10,1_0.1353352832366127_0.1353352832366127_1
11,10,1_0.1353352832366127_0.1353352832366127_1
30,10,1_0.1353352832366127_0.1353352832366127_1
10,11,1_0.1353352832366127_0.1353352832366127_1
12,11,1_0.1353352832366127_0.1353352832366127_1
31,11,1_0.1353352832366127_0.1353352832366127_1
11,12,1_0.1353352832366127_0.1353352832366127_1
13,12,1_0.1353352832366127_0.1353352832366127_1
32,12,1_0.1353352832366127_0.1353352832366127_1
12,13,1_0.1353352832366127_0.1353352832366127_1
14,13,1_0.1353352832366127_0.1353352832366127_1
33,13,1_0.1353352832366127_0.1353352832366127_1
13,14,1_0.1353352832366127_0.1353352832366127_1
15,14,1_0.1353352832366127_0.1353352832366127_1
34,14,1_0.1353352832366127_0.1353352832366127_1
14,15,1_0.1353352832366127_0.1353352832366127_1
16,15,1_0.1353352832366127_0.1353352832366127_1
35,15,1_0.1353352832366127_0.1353352832366127_1
15,16,1_0.1353352832366127_0.1353352832366127_1
17,16,1_0.1353352832366127_0.1353352832366127_1
36,16,1_0.1353352832366127_0.1353352832366127_1
16,17,1_0.1353352832366127_0.1353352832366127_1
18,17,1_0.1353352832366127_0.1353352832366127_1
37,17,1_0.1353352832366127_0.1353352832366127_1
17,18,1_0.1353352832366127_0.1353352832366127_1
19,18,1_0.1353352832366127_0.1353352832366127_1
38,18,1_0.1353352832366127_0.1353352832366127_1
18,19,1_0.1353352832366127_0.1353352832366127_1
20,19,1_0.1353352832366127_0.1353352832366127_1
39,19,1_0.1353352832366127_0.1353352832366127_1
19,20,1_0.1353352832366127_0.1353352832366127_1
40,20,1_0.1353352832366127_0.1353352832366127_1
1,21,1_0.1353352832366127_0.1353352832366127_1
22,21,1_0.1353352832366127_0.1353352832366127_1
41,21,1_0.1353352832366127_0.1353352832366127_1
2,22,1_0.1353352832366127_0.1353352832366127_1
21,22,1_0.1353352832366127_0.1353352832366127_1
23,22,1_0.1353352832366127_0.1353352832366127_1
42,22,1_0.1353352832366127_0.1353352832366127_1
3,23,1_0.1353352832366127_0.1353352832366127_1
22,23,1_0.1353352832366127_0.1353352832366127_1
24,23,1_0.1353352832366127_0.1353352832366127_1
43,23,1_0.1353352832366127_0.1353352832366127_1
4,24,1_0.1353352832366127_0.1353352832366127_1
23,24,1_0.1353352832366127_0.1353352832366127_1
25,24,1_0.1353352832366127_0.1353352832366127_1
44,24,1_0.1353352832366127_0.1353352832366127_1
5,25,1_0.1353352832366127_0.1353352832366127_1
24,25,1_0.1353352832366127_0.1353352832366127_1
26,25,1_0.1353352832366127_0.1353352832366127_1
45,25,1_0.1353352832366127_0.1353352832366127_1
6,26,1_0.1353352832366127_0.1353352832366127_1
25,26,1_0.1353352832366127_0.1353352832366127_1
27,26,1_0.1353352832366127_0.1353352832366127_1
46,26,1_0.1353352832366127_0.1353352832366127_1
7,27,1_0.1353352832366127_0.1353352832366127_1
26,27,1_0.1353352832366127_0.1353352832366127_1
28,27,1_0.1353352832366127_0.1353352832366127_1
47,27,1_0.1353352832366127_0.1353352832366127_1
8,28,1_0.1353352832366127_0.1353352832366127_1
27,28,1_0.1353352832366127_0.1353352832366127_1
29,28,1_0.1353352832366127_0.1353352832366127_1
48,28,1_0.1353352832366127_0.1353352832366127_1
9,29,1_0.1353352832366127_0.1353352832366127_1
28,29,1_0.1353352832366127_0.1353352832366127_1
30,29,1_0.1353352832366127_0.1353352832366127_1
49,29,1_0.1353352832366127_0.1353352832366127_1
10,30,1_0.1353352832366127_0.1353352832366127_1
29,30,1_0.1353352832366127_0.1353352832366127_1
31,30,1_0.1353352832366127_0.1353352832366127_1
50,30,1_0.1353352832366127_0.1353352832366127_1
11,31,1_0.1353352832366127_0.1353352832366127_1
30,31,1_0.1353352832366127_0.1353352832366127_1
32,31,1_0.1353352832366127_0.1353352832366127_1
51,31,1_0.1353352832366127_0.1353352832366127_1
12,32,1_0.1353352832366127_0.1353352832366127_1
31,32,1_0.1353352832366127_0.1353352832366127_1
33,32,1_0.1353352832366127_0.1353352832366127_1
52,32,1_0.1353352832366127_0.1353352832366127_1
13,33,1_0.1353352832366127_0.1353352832366127_1
32,33,1_0.1353352832366127_0.1353352832366127_1
34,33,1_0.1353352832366127_0.1353352832366127_1
53,33,1_0.1353352832366127_0.1353352832366127_1
14,34,1_0.1353352832366127_0.1353352832366127_1
33,34,1_0.1353352832366127_0.1353352832366127_1
35,34,1_0.1353352832366127_0.1353352832366127_1
54,34,1_0.1353352832366127_0.1353352832366127_1
15,35,1_0.1353352832366127_0.1353352832366127_1
34,35,1_0.1353352832366127_0.1353352832366127_1
36,35,1_0.1353352832366127_0.1353352832366127_1
55,35,1_0.1353352832366127_0.1353352832366127_1
16,36,1_0.1353352832366127_0.1353352832366127_1
35,36,1_0.1353352832366127_0.1353352832366127_1
37,36,1_0.1353352832366127_0.1353352832366127_1
56,36,1_0.1353352832366127_0.1353352832366127_1
17,37,1_0.1353352832366127_0.1353352832366127_1
36,37,1_0.1353352832366127_0.1353352832366127_1
38,37,1_0.1353352832366127_0.1353352832366127_1
57,37,1_0.1353352832366127_0.1353352832366127_1
18,38,1_0.1353352832366127_0.1353352832366127_1
37,38,1_0.1353352832366127_0.1353352832366127_1
39,38,1_0.1353352832366127_0.1353352832366127_1
58,38,1_0.1353352832366127_0.1353352832366127_1
19,39,1_0.1353352832366127_0.1353352832366127_1
38,39,1_0.1353352832366127_0.1353352832366127_1
40,39,1_0.1353352832366127_0.1353352832366127_1
59,39,1_0.1353352832366127_0.1353352832366127_1
20,40,1_0.1353352832366127_0.1353352832366127_1
39,40,1_0.1353352832366127_0.1353352832366127_1
